Date : 2024-07-30 22:45:17
Directory : /Users/matejforejt/Desktop/Projects/porfolio-final/src
Total : 182 files,  11255 codes, 385 comments, 1271 blanks, all 12911 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         90 |      6,091 |        312 |        900 |      7,303 |
| SCSS           |         66 |      4,244 |          2 |        255 |      4,501 |
| JavaScript     |         20 |        982 |         71 |        122 |      1,175 |
| XML            |          6 |        -62 |          0 |         -6 |        -68 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        182 |     11,255 |        385 |      1,271 |     12,911 |
| . (Files)                                                                                                                         |          1 |          5 |          0 |          2 |          7 |
| ..                                                                                                                                |          6 |        -62 |          0 |         -6 |        -68 |
| ../public                                                                                                                         |          6 |        -62 |          0 |         -6 |        -68 |
| ../public (Files)                                                                                                                 |          3 |         -5 |          0 |         -1 |         -6 |
| ../public/images                                                                                                                  |          3 |        -57 |          0 |         -5 |        -62 |
| ../public/images/landing                                                                                                          |          1 |         -3 |          0 |         -1 |         -4 |
| ../public/images/projects                                                                                                         |          2 |        -54 |          0 |         -4 |        -58 |
| components                                                                                                                        |        134 |      9,647 |        234 |        972 |     10,853 |
| components (Files)                                                                                                                |          1 |        120 |          1 |         10 |        131 |
| components/AboutPage                                                                                                              |         16 |      1,041 |          8 |         95 |      1,144 |
| components/AboutPage/AboutSections                                                                                                |          8 |        487 |          3 |         38 |        528 |
| components/AboutPage/AboutSections (Files)                                                                                        |          2 |         66 |          0 |          8 |         74 |
| components/AboutPage/AboutSections/Programing                                                                                     |          2 |        141 |          1 |         10 |        152 |
| components/AboutPage/AboutSections/School                                                                                         |          2 |        140 |          1 |         10 |        151 |
| components/AboutPage/AboutSections/Sport                                                                                          |          2 |        140 |          1 |         10 |        151 |
| components/AboutPage/Description                                                                                                  |          2 |         83 |          1 |         10 |         94 |
| components/AboutPage/Intro                                                                                                        |          2 |        141 |          1 |         18 |        160 |
| components/AboutPage/Landing                                                                                                      |          2 |        128 |          2 |         13 |        143 |
| components/AboutPage/Service                                                                                                      |          2 |        202 |          1 |         16 |        219 |
| components/ContactPage                                                                                                            |          6 |        880 |          8 |         62 |        950 |
| components/ContactPage/Calendly                                                                                                   |          2 |        113 |          1 |         15 |        129 |
| components/ContactPage/Contact                                                                                                    |          2 |        618 |          1 |         34 |        653 |
| components/ContactPage/Footer                                                                                                     |          2 |        149 |          6 |         13 |        168 |
| components/Footer                                                                                                                 |          2 |        417 |         41 |         52 |        510 |
| components/Header                                                                                                                 |         13 |        562 |         62 |         92 |        716 |
| components/Header (Files)                                                                                                         |          3 |        234 |         57 |         45 |        336 |
| components/Header/nav                                                                                                             |         10 |        328 |          5 |         47 |        380 |
| components/Header/nav (Files)                                                                                                     |          2 |         71 |          0 |          8 |         79 |
| components/Header/nav/Body                                                                                                        |          2 |         70 |          0 |         10 |         80 |
| components/Header/nav/Curve                                                                                                       |          2 |         39 |          4 |          9 |         52 |
| components/Header/nav/Footer                                                                                                      |          2 |        116 |          1 |         14 |        131 |
| components/Header/nav/Image                                                                                                       |          2 |         32 |          0 |          6 |         38 |
| components/LandingPage                                                                                                            |         35 |      2,365 |         45 |        212 |      2,622 |
| components/LandingPage/Description                                                                                                |          2 |        137 |          0 |         12 |        149 |
| components/LandingPage/FreeStuff                                                                                                  |          4 |        277 |          2 |         32 |        311 |
| components/LandingPage/FreeStuff (Files)                                                                                          |          2 |        160 |          1 |         26 |        187 |
| components/LandingPage/FreeStuff/Projects                                                                                         |          2 |        117 |          1 |          6 |        124 |
| components/LandingPage/IntroText                                                                                                  |          2 |        132 |         12 |         19 |        163 |
| components/LandingPage/Landing                                                                                                    |          2 |        121 |          2 |         11 |        134 |
| components/LandingPage/MainOffer                                                                                                  |          4 |        217 |          1 |         16 |        234 |
| components/LandingPage/MainOffer (Files)                                                                                          |          2 |        174 |          1 |          7 |        182 |
| components/LandingPage/MainOffer/Timer                                                                                            |          2 |         43 |          0 |          9 |         52 |
| components/LandingPage/NewestWork                                                                                                 |          9 |        293 |         18 |         28 |        339 |
| components/LandingPage/NewestWork (Files)                                                                                         |          3 |         72 |          1 |          3 |         76 |
| components/LandingPage/NewestWork/Model                                                                                           |          1 |         68 |         11 |         11 |         90 |
| components/LandingPage/NewestWork/Projects                                                                                        |          2 |        110 |          1 |          8 |        119 |
| components/LandingPage/NewestWork/Scene                                                                                           |          2 |         19 |          2 |          3 |         24 |
| components/LandingPage/NewestWork/Shader                                                                                          |          1 |         24 |          3 |          3 |         30 |
| components/LandingPage/OfferSections                                                                                              |          8 |        615 |          5 |         46 |        666 |
| components/LandingPage/OfferSections (Files)                                                                                      |          2 |         65 |          0 |          8 |         73 |
