"filename", "language", "JavaScript", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/Programing/index.jsx", "JavaScript JSX", 0, 0, 57, 1, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/Programing/style.module.scss", "SCSS", 0, 84, 0, 0, 4, 88
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/School/index.jsx", "JavaScript JSX", 0, 0, 57, 1, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/School/style.module.scss", "SCSS", 0, 83, 0, 0, 4, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/Sport/index.jsx", "JavaScript JSX", 0, 0, 57, 1, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/Sport/style.module.scss", "SCSS", 0, 83, 0, 0, 4, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/index.jsx", "JavaScript JSX", 0, 0, 32, 0, 6, 38
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/style.module.scss", "SCSS", 0, 34, 0, 0, 2, 36
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Description/index.jsx", "JavaScript JSX", 0, 0, 58, 1, 8, 67
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Description/style.module.scss", "SCSS", 0, 25, 0, 0, 2, 27
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Intro/index.jsx", "JavaScript JSX", 0, 0, 89, 1, 17, 107
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Intro/style.module.scss", "SCSS", 0, 52, 0, 0, 1, 53
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Landing/index.jsx", "JavaScript JSX", 0, 0, 76, 2, 9, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Landing/style.module.scss", "SCSS", 0, 52, 0, 0, 4, 56
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Service/index.jsx", "JavaScript JSX", 0, 0, 99, 1, 16, 116
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Service/style.module.scss", "SCSS", 0, 103, 0, 0, 0, 103
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Calendly/index.jsx", "JavaScript JSX", 0, 0, 62, 1, 10, 73
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Calendly/style.module.scss", "SCSS", 0, 51, 0, 0, 5, 56
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Contact/index.jsx", "JavaScript JSX", 0, 0, 341, 1, 22, 364
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Contact/style.module.scss", "SCSS", 0, 277, 0, 0, 12, 289
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Footer/index.jsx", "JavaScript JSX", 0, 0, 73, 6, 10, 89
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Footer/style.module.scss", "SCSS", 0, 76, 0, 0, 3, 79
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Footer/index.jsx", "JavaScript JSX", 0, 0, 164, 41, 40, 245
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Footer/style.module.scss", "SCSS", 0, 253, 0, 0, 12, 265
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/anim.js", "JavaScript", 72, 0, 0, 0, 7, 79
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/index.jsx", "JavaScript JSX", 0, 0, 49, 57, 18, 124
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Body/index.jsx", "JavaScript JSX", 0, 0, 40, 0, 4, 44
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Body/style.module.scss", "SCSS", 0, 30, 0, 0, 6, 36
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Curve/index.jsx", "JavaScript JSX", 0, 0, 29, 4, 9, 42
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Curve/style.module.scss", "SCSS", 0, 10, 0, 0, 0, 10
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Footer/index.jsx", "JavaScript JSX", 0, 0, 56, 1, 5, 62
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Footer/style.module.scss", "SCSS", 0, 60, 0, 0, 9, 69
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Header/nav/Image/index.jsx", "JavaScript JSX", 0, 0, 16, 0, 1, 17
