"filename", "language", "SCSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/index.jsx", "JavaScript JSX", 0, 100, 0, 1, 9, 110
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/AboutSections/style.module.scss", "SCSS", 294, 0, 0, 0, 18, 312
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Intro/index.jsx", "JavaScript JSX", 0, 89, 0, 1, 17, 107
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Intro/style.module.scss", "SCSS", 52, 0, 0, 0, 1, 53
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Landing/index.jsx", "JavaScript JSX", 0, 76, 0, 2, 9, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Landing/style.module.scss", "SCSS", 52, 0, 0, 0, 4, 56
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Service/index.jsx", "JavaScript JSX", 0, 99, 0, 1, 16, 116
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/AboutPage/Service/style.module.scss", "SCSS", 103, 0, 0, 0, 0, 103
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Calendly/index.jsx", "JavaScript JSX", 0, 62, 0, 1, 10, 73
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Calendly/style.module.scss", "SCSS", 51, 0, 0, 0, 5, 56
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Contact/index.jsx", "JavaScript JSX", 0, 341, 0, 1, 22, 364
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Contact/style.module.scss", "SCSS", 277, 0, 0, 0, 12, 289
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Footer/index.jsx", "JavaScript JSX", 0, 73, 0, 6, 10, 89
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ContactPage/Footer/style.module.scss", "SCSS", 76, 0, 0, 0, 3, 79
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Description/index.jsx", "JavaScript JSX", 0, 56, 0, 0, 7, 63
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Description/style.module.scss", "SCSS", 81, 0, 0, 0, 5, 86
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Landing/index.jsx", "JavaScript JSX", 0, 69, 0, 2, 7, 78
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Landing/style.module.scss", "SCSS", 52, 0, 0, 0, 4, 56
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/Timer/index.jsx", "JavaScript JSX", 0, 38, 0, 0, 9, 47
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/Timer/style.module.scss", "SCSS", 5, 0, 0, 0, 0, 5
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/index.jsx", "JavaScript JSX", 0, 67, 0, 1, 7, 75
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/style.module.scss", "SCSS", 107, 0, 0, 0, 0, 107
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Model/index.jsx", "JavaScript JSX", 0, 68, 0, 11, 11, 90
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Projects/index.jsx", "JavaScript JSX", 0, 37, 0, 1, 3, 41
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Projects/styles.module.scss", "SCSS", 73, 0, 0, 0, 5, 78
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Scene/index.jsx", "JavaScript JSX", 0, 12, 0, 2, 3, 17
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Scene/style.module.scss", "SCSS", 7, 0, 0, 0, 0, 7
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Shader/index.js", "JavaScript", 0, 0, 24, 3, 3, 30
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/data.js", "JavaScript", 0, 0, 30, 0, 0, 30
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/index.jsx", "JavaScript JSX", 0, 20, 0, 1, 2, 23
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/styles.module.scss", "SCSS", 22, 0, 0, 0, 1, 23
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/index.jsx", "JavaScript JSX", 0, 112, 0, 1, 9, 122
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/OfferSections/style.module.scss", "SCSS", 304, 0, 0, 2, 21, 327
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Slider/index.jsx", "JavaScript JSX", 0, 230, 0, 2, 20, 252
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Slider/style.module.scss", "SCSS", 66, 0, 0, 0, 5, 71
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/Projects/index.jsx", "JavaScript JSX", 0, 68, 0, 1, 5, 74
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/Projects/style.module.scss", "SCSS", 49, 0, 0, 0, 0, 49
